,stock,material,descripcion,tipoMaterial,umb,mat,sm,grupo,jerarquia,numerofab,fabricante,extension,creado,modificado
16660,71000512962,91000020386,"RING, SLIDING.",HERS,ST,,,261017,,T-641971,WORTH-TU,,2016-04-27,
16661,71000513010,91000020388,"SEAT, VALVE",HERS,ST,,,40141646,,1A-5145,WORTH-TU,,2016-04-27,
16662,71000513028,91000020389,"SEAT, VALVE",HERS,ST,,,40141646,,1A-6106,WORTH-TU,,2016-04-27,
16663,71000513036,91000020390,"SEAT, VALVE",HERS,ST,,,40141646,,64-2015,WORTH-TU,,2016-04-27,
16664,71000513044,91000020391,"SHIELD DUST, TRUCK IDLER ROLLER",HERS,ST,,,261017,,62-2254,WORTH-TU,,2016-04-27,
16665,71000513051,91000020392,SHIM,HERS,ST,,,261017,,64-1726,WORTH-TU,,2016-04-27,
16666,71000513077,91000020393,SPRING,HERS,ST,,,311619,,61-1001,WORTH-TU,,2016-04-27,
16667,71000513093,91000020396,SPRING,HERS,ST,,,311619,,61-1981,WORTH-TU,,2016-04-27,
16668,71000513119,91000020398,SPRING,HERS,ST,,,311619,,62-2232,WORTH-TU,,2016-04-27,
16669,71000513127,91000020399,SPRING,HERS,ST,,,311619,,62-2256,WORTH-TU,,2016-04-27,
16670,71000513135,91000020400,SPRING,HERS,ST,,,311619,,64-1786,WORTH-TU,,2016-04-27,
16671,71000513143,91000020401,SPRING,HERS,ST,,,311619,,64-1846,WORTH-TU,,2016-04-27,
16672,71000513150,91000020402,SPRING,HERS,ST,,,311619,,64-2432,WORTH-TU,,2016-04-27,
16673,71000513168,91000020403,SPRING,HERS,ST,,,311619,,64-2433,WORTH-TU,,2016-04-27,
16674,71000513176,91000020404,SPRING,HERS,ST,,,311619,,64-9064,WORTH-TU,,2016-04-27,
16675,71000513184,91000020405,SPRING,HERS,ST,,,311619,,64-9091,WORTH-TU,,2016-04-27,
16676,71000513192,91000020406,SPRING,HERS,ST,,,311619,,64-9296,WORTH-TU,,2016-04-27,
16677,71000513200,91000020407,SPRING,HERS,ST,,,311619,,64-9381,WORTH-TU,,2016-04-27,
16678,71000513218,91000020408,SPRING,HERS,ST,,,311619,,T 649379,WORTH-TU,,2016-04-27,
16679,71000513226,91000020409,"STEM, FLUID VALVE",HERS,ST,,,40141616,,1F-5815,WORTH-TU,,2016-04-27,
16680,71000513234,91000020410,"STEM, FLUID VALVE",HERS,ST,,,40141616,,1K-5858,WORTH-TU,,2016-04-27,
16681,71000513242,91000020411,"STEM, FLUID VALVE",HERS,ST,,,40141616,,1U-5864,WORTH-TU,,2016-04-27,
16682,71000513259,91000020412,"STEM, FLUID VALVE",HERS,ST,,,40141616,,64-1575,WORTH-TU,,2016-04-27,
16683,71000513267,91000020413,"WASHER, STOP",HERS,ST,,,261017,,64-2361,WORTH-TU,,2016-04-27,
16684,71000513283,91000020414,VALVE,HERS,ST,,,401416,,61-197,WORTH-TU,,2016-04-27,
